text,label
환자는 의식을 잃고 심폐소생술이 필요한 상태입니다.,0
환자는 심한 흉통과 함께 심근경색 증상을 보입니다.,0
환자는 심한 두부 외상 후 반응이 없습니다.,0
환자는 깊은 상처로 인한 과다 출혈로 쇼크 상태에 있습니다.,0
환자는 호흡 곤란과 위험한 수준의 저산소증을 보입니다.,0
환자는 심한 알레르기 반응으로 얼굴과 목이 부어오르고 호흡에 어려움이 있습니다.,0
환자는 5분 이상 지속되는 발작을 겪고 있습니다.,0
환자는 약물에 반응하지 않는 고열을 보입니다.,0
환자는 격렬한 복통으로 충수 파열이 의심됩니다.,0
환자는 언어 장애와 편측 마비 등 뇌졸중 증상을 보입니다.,0
환자는 신체의 큰 부분에 3도 화상을 입었습니다.,0
환자는 갑작스러운 시력 상실과 심한 두통을 겪고 있습니다.,0
환자는 심각한 교통사고 후 혼수 상태입니다.,0
환자는 급성 신부전으로 즉각적인 투석이 필요합니다.,0
환자는 독성 물질을 섭취하여 중독 증상을 보입니다.,0
환자는 심정지로 제세동이 필요합니다.,0
환자는 흡입기에 반응하지 않는 심한 천식 발작을 겪고 있습니다.,0
환자는 패혈성 쇼크로 위험한 저혈압 상태입니다.,0
환자는 장기간의 추위 노출로 심한 저체온증에 있습니다.,0
환자는 수술 후 조절되지 않는 출혈을 겪고 있습니다.,0
환자는 다리 골절로 인한 극심한 통증을 호소합니다.,1
환자는 고열과 지속적인 구토를 겪고 있습니다.,1
환자는 심한 설사로 탈수 상태입니다.,1
환자는 봉합이 필요한 깊은 열상을 입었습니다.,1
환자는 심한 편두통을 겪고 있습니다.,1
환자는 심한 폐렴으로 호흡에 어려움이 있습니다.,1
환자는 급성 췌장염으로 고통받고 있습니다.,1
환자는 항생제에 반응하지 않는 심각한 감염을 보입니다.,1
환자는 조절되지 않는 당뇨병으로 혈당 수치가 매우 높습니다.,1
환자는 약물 남용으로 인한 심한 금단 증상을 겪고 있습니다.,1
환자는 전신에 퍼진 심한 알레르기 발진이 있습니다.,1
환자는 심한 불안 발작을 경험하고 있습니다.,1
환자는 청력 손실을 유발하는 심각한 귀 감염이 있습니다.,1
환자는 심부 정맥 혈전증으로 고통받고 있습니다.,1
환자는 심한 관절염으로 움직임에 제한이 있습니다.,1
환자는 일상 활동에 영향을 주는 심한 우울증을 겪고 있습니다.,1
환자는 극심한 피로를 유발하는 심각한 빈혈이 있습니다.,1
환자는 빈번한 네뷸라이저 치료가 필요한 심한 천식을 앓고 있습니다.,1
환자는 극심한 통증을 유발하는 심각한 요로 감염이 있습니다.,1
환자는 움직임에 지장을 주는 심한 허리 통증을 호소합니다.,1
환자는 수술 후 회복 중이며 중등도의 통증을 느낍니다.,2
환자는 약물 조절이 필요한 중간 정도의 고혈압이 있습니다.,2
환자는 관절염으로 인한 중등도의 관절 통증을 겪고 있습니다.,2
환자는 기관지염으로 지속적인 기침을 합니다.,2
환자는 중간 정도의 불안을 경험하고 있습니다.,2
환자는 항생제가 필요한 중등도의 피부 감염이 있습니다.,2
환자는 빈혈로 인한 중등도의 피로를 느낍니다.,2
환자는 청력에 영향을 주는 중간 정도의 귀 통증이 있습니다.,2
환자는 중등도의 부비동 두통을 겪고 있습니다.,2
환자는 발목 염좌 후 중등도의 부기를 보입니다.,2
환자는 중등도의 소화 불량을 경험하고 있습니다.,2
환자는 백내장으로 인한 중등도의 시력 저하가 있습니다.,2
환자는 운동 시 중등도의 호흡 곤란을 겪고 있습니다.,2
환자는 협심증으로 인한 중등도의 흉통이 있습니다.,2
환자는 두드러기와 같은 중등도의 알레르기 반응을 보입니다.,2
환자는 수면의 질에 영향을 주는 중등도의 불면증을 겪고 있습니다.,2
환자는 중등도의 기억력 저하를 겪고 있습니다.,2
환자는 약물 부작용으로 중등도의 메스꺼움을 느낍니다.,2
환자는 중등도의 생리통을 겪고 있습니다.,2
환자는 치과 치료가 필요한 중등도의 치통이 있습니다.,2
환자는 가벼운 계절성 알레르기를 겪고 있습니다.,3
환자는 콧물 등 경미한 감기 증상이 있습니다.,3
환자는 운동 후 경미한 근육통을 느낍니다.,3
환자는 일반 의약품으로 완화되는 경미한 두통이 있습니다.,3
환자는 식사 후 경미한 소화 불량을 겪고 있습니다.,3
환자는 아침에 경미한 관절 뻣뻣함을 느낍니다.,3
환자는 일 후 경미한 피로를 호소합니다.,3
환자는 접촉성 피부염으로 인한 경미한 피부 자극이 있습니다.,3
환자는 경미한 인후통을 겪고 있습니다.,3
환자는 장시간 컴퓨터 사용으로 경미한 눈의 피로를 느낍니다.,3
환자는 신체 활동 후 경미한 탈수를 겪고 있습니다.,3
환자는 해변에서 하루를 보낸 후 경미한 일광 화상을 입었습니다.,3
환자는 공개 연설 전 경미한 불안을 느낍니다.,3
환자는 가구에 부딪혀 경미한 멍이 들었습니다.,3
환자는 격렬한 운동 시 경미한 호흡 곤란을 겪습니다.,3
환자는 식이 변화로 경미한 변비를 겪고 있습니다.,3
환자는 빠르게 일어설 때 경미한 현기증을 느낍니다.,3
환자는 임신 중 경미한 메스꺼움을 겪고 있습니다.,3
환자는 남은 감기로 인한 경미한 기침이 있습니다.,3
환자는 경미한 여드름이 발생했습니다.,3
환자는 가끔 재채기를 하는 좋은 건강 상태입니다.,4
환자는 약간의 안구 건조증을 느낍니다.,4
환자는 손가락에 작은 종이 상처가 있습니다.,4
환자는 긴 하루 후 약간 피곤합니다.,4
환자는 새로운 운동 후 약간의 근육 통증을 느낍니다.,4
환자는 가끔 딸꾹질을 합니다.,4
환자는 겨울철에 약간의 피부 건조증을 겪습니다.,4
환자는 과식 후 약간의 더부룩함을 느낍니다.,4
환자는 다리에 작은 멍이 있습니다.,4
환자는 열쇠를 놓치는 등 가벼운 건망증이 있습니다.,4
환자는 아침에 약간의 코 막힘을 겪습니다.,4
환자는 모기 물림으로 약간의 가려움을 느낍니다.,4
환자는 꽉 끼는 신발로 인한 경미한 불편함이 있습니다.,4
환자는 추운 날씨에 약간의 떨림을 느낍니다.,4
환자는 목에 약간의 간지럼으로 기침을 합니다.,4
환자는 빙빙 돌 때 약간의 어지러움을 느낍니다.,4
환자는 차가운 음료에 치아 민감성을 느낍니다.,4
환자는 화면을 오래 바라본 후 가끔 경미한 두통을 겪습니다.,4
환자는 새로운 장신구 착용 후 약간의 피부 발적이 있습니다.,4
환자는 면접 전 약간의 긴장감을 느낍니다.,4
